sector,clinic_1,clinic_2,clinic_3,clinic_4,clinic_5,clinic_6,clinic_7,clinic_8,clinic_9,clinic_10,clinic_11,clinic_12,clinic_13,clinic_14,clinic_15,clinic_16,clinic_17,clinic_18,clinic_19,clinic_20,clinic_21,clinic_22,clinic_23,clinic_24,clinic_25,clinic_26,clinic_27,clinic_28
PS158,33.17,40.15,38.17,37.93,29.35,51.48,53.28,48,53.82,44.65,49.4,53.78,52.78,66.02,66.72,58.78,59.87,69.95,12.1,12.27,15.83,53.27,53.98,29.75,34.22,32.68,19.62,39.25
PS159,31.42,36.55,36.42,34.53,27.6,47.88,49.68,44.4,50.22,41.05,45.8,50.18,49.18,62.42,63.12,55.18,56.27,66.35,11.75,11.92,10.62,49.68,50.38,26.15,30.62,32.35,19.28,35.65
PS160,31.82,38.8,36.82,36.58,28,50.13,51.95,46.65,52.47,43.3,48.05,52.43,51.43,64.67,65.37,57.43,58.52,68.6,10.75,10.92,14.35,51.93,52.65,28.4,32.87,31.35,18.27,37.9
PS161,31.68,38.65,36.67,36.43,27.87,49.98,51.8,46.5,52.32,43.17,47.92,52.3,51.3,64.53,65.23,57.28,58.38,68.47,10.32,10.77,16.38,51.78,52.5,28.27,32.73,31.2,17.82,37.75
PS162,29.55,36.53,34.55,34.32,25.73,47.87,49.67,44.38,50.2,41.03,45.78,50.17,49.17,62.4,63.1,55.17,56.25,66.33,6.77,7.28,17.18,49.65,50.37,26.13,30.6,29.07,14.27,35.63
PS163,31.37,38.33,36.37,36.12,27.55,49.68,51.48,46.2,52.02,42.85,47.6,51.98,50.98,64.22,64.92,56.97,58.07,68.15,10.3,10.45,13.7,51.47,52.18,27.95,32.42,30.88,17.82,37.45
PS164,29.83,34.97,34.83,32.95,26.03,46.3,48.12,42.82,48.63,39.47,44.23,48.6,47.62,60.85,61.53,53.6,54.68,64.77,12.52,11.65,8.88,48.1,48.82,24.58,29.05,29.5,19.8,34.07
PS165,22.27,27.4,27.27,25.38,18.47,38.73,40.55,35.25,41.07,31.9,36.65,41.03,40.05,53.27,53.97,46.03,47.12,57.2,21.38,20.7,2.32,40.53,41.25,17,21.48,24.27,25.63,26.5
PS166,23.72,28.83,28.7,26.82,19.9,40.17,41.98,36.7,42.5,33.35,38.1,42.48,41.48,54.72,55.42,47.47,48.57,58.65,21.63,21.35,3.98,41.97,42.68,18.45,22.92,25.7,27.07,27.95
PS167,19.43,26.4,24.42,24.18,15.62,37.73,39.55,34.27,40.07,30.92,35.67,40.05,39.05,52.28,52.98,45.03,46.13,56.22,11.83,11.15,14.43,39.53,40.25,16.02,20.48,18.95,16.52,25.52
PS92,26.38,33.37,31.38,31.15,22.58,44.7,46.52,41.22,47.03,37.87,42.62,47,46.02,59.23,59.93,51,53.08,63.17,6.28,5.92,15.43,46.5,47.22,22.97,27.45,25.82,12.28,32.47
PS168,31.4,38.37,36.38,36.15,27.58,49.7,51.52,46.23,52.03,42.88,47.63,52.02,51.02,64.25,64.95,57,58.1,68.18,0.75,1.02,20.58,51.5,52.22,27.98,32.45,28.07,9.42,37.48
PS169,31.92,38.9,36.92,36.68,28.1,50.23,52.03,46.75,52.57,43.4,48.15,52.53,51.53,64.77,65.47,57.53,58.62,68.7,3.12,3.63,19.55,52.02,52.73,28.5,32.97,28.6,9.97,37
PS170,30.4,35.53,35.4,33.52,26.58,46.87,48.68,43.38,49.2,40.03,44.78,49.17,48.17,61.4,62.1,54.17,55.25,65.33,29.52,28.83,9.55,48.67,46.68,25.13,29.6,32.4,33.77,34.63
PS171,48.98,39.75,52.97,50.75,49.55,38.03,36.52,39.78,43.33,43.48,48.23,23.58,51.62,17.72,18.48,17.97,26.97,10.73,70.67,69.98,59.72,42.85,42.05,50.97,43.53,57.35,68.77,37.9
PS172,42.68,33.45,47.72,44.47,43.27,32.78,31.27,34.53,38.08,38.23,42.98,21.22,46.37,17.17,11.1,11.68,21.72,12.83,64.37,63.7,53.42,37.6,39.68,44.68,37.23,51.05,62.48,31.62
PS173,36.75,27.05,41.85,38.53,37.32,39.97,38.45,41.7,45.27,45.05,49.8,10.02,53.18,8.02,18.28,13.98,28.9,10.5,58.43,57.75,47.48,44.78,28.5,38.75,31.3,45.12,56.53,25.2
PS93,44.72,35.02,49.82,46.48,45.28,42.18,40.68,43.93,47.5,47.58,52.38,17.98,55.78,9.05,20.52,16.45,31.13,2.97,66.4,65.72,55.45,47.02,36.47,46.7,39.27,53.08,64.5,33.17
PS53,46.63,36.93,51.73,48.42,47.2,44.15,42.65,45.9,49.47,49.53,54.35,19.9,57.73,9.33,22.47,18.42,33.08,2.67,68.32,67.63,57.37,48.98,38.38,48.62,41.18,54,66.42,35.08
PS54,45.77,36.07,50.88,47.55,46.35,41.28,39.78,43.03,46.6,46.67,51.48,19.05,54.87,9.1,19.6,15.55,30.22,2.05,67.45,66.78,56.5,46.1,37.52,47.77,40.32,54.13,65.57,34.23
PS55,47.5,38.27,52.62,49.28,48.08,42.03,40.53,43.78,47.35,47.48,52.23,21.93,55.62,12.23,20.55,16.5,30.97,4.92,69.18,68.52,58.23,46.85,40.42,49.5,42.05,55.87,67.3,36.43
PS174,45.8,36.1,50.92,47.58,46.38,43.7,42.2,45.45,49.02,49.15,53.9,19.08,57.28,12.4,22.22,18.17,32.63,8.28,67.48,66.82,56.53,48.53,37.55,47.8,40.35,54.17,65.6,34.27
PS175,46.83,37.6,51.93,48.6,47.4,41.37,39.85,43.1,46.67,46.82,51.57,21.27,54.95,12.47,19.88,15.83,30.3,4.77,68.52,67.83,57.57,46.18,39.73,48.82,41.38,55.2,66.62,35.75
PS176,41.68,31.98,46.8,43.47,42.25,44.48,42.98,46.23,49.8,49.98,54.75,14.97,58.13,5.33,22.82,18.77,33.43,4.18,63.37,62.7,52.42,49.32,33.43,43.68,36.23,50.05,61.48,30.15
PS94,44.12,34.4,49.22,45.88,44.68,45.47,43.97,47.22,50.78,50.92,55.67,17.38,59.05,10.7,23.98,19.93,34.4,5.6,65.78,65.12,54.85,50.28,35.85,46.1,38.65,52.48,63.9,32.57
PS177,43.47,33.77,48.58,45.25,44.05,45.03,43.52,46.78,50.33,50.48,55.23,16.75,58.62,10.07,23.55,19.5,33.97,6.4,65.15,64.48,54.2,49.85,35.22,45.47,38.02,51.83,63.27,31.93
PS95,43.85,34.15,48.95,45.63,44.42,45.4,43.9,47.15,50.72,50.85,55.6,17.12,58.98,9.57,23.93,19.87,34.35,8.18,65.53,64.85,54.58,50.23,35.6,45.83,38.4,52.22,63.63,32.3
PS96,44.4,34.7,49.52,46.18,44.98,47.33,45.83,49.08,52.65,52.72,57.47,17.68,60.85,9.18,25.87,21.82,36.28,9.7,66.08,65.42,55.13,52.17,36.15,46.4,38.95,52.77,64.2,32.87
PS178,43.4,33.68,48.5,45.17,43.97,44.63,43.13,46.38,49.95,50.08,54.83,16.67,58.22,9.98,23.17,19.1,33.58,9.33,65.08,64.4,54.13,49.47,35.13,45.38,37.95,51.77,63.18,31.85
PS179,45.37,35.67,50.47,47.15,45.93,48.18,46.67,49.93,53.48,53.63,58.38,18.63,61.77,9.23,26.7,22.65,37.12,12.88,67.05,66.37,56.1,53,37.12,47.35,39.92,53.73,65.15,33.82
PS180,41.4,31.7,46.52,43.18,41.97,47.55,46.05,49.3,52.87,49.7,54.47,14.68,57.85,6.22,26.07,22.02,36.48,9.88,63.08,62.42,52.13,52.38,33.15,43.4,35.95,49.77,61.2,29.87
PS97,45.22,40.45,41.15,39.98,47.9,26.2,24.7,27.95,31.52,31.65,36.42,40.45,39.8,37.18,15.1,25.32,14.53,29.73,69,68.33,58.05,31.03,52.63,49.32,43.93,55.68,67.12,38.73
PS181,34.48,30.48,30.4,29.25,37.15,15.47,13.97,17.22,20.78,20.92,25.67,35.58,29.05,35.52,11.98,21.08,2.13,31.93,58.27,57.6,47.32,20.28,42.65,38.58,33.43,44.95,56.37,28.75
PS182,36.83,36.95,32.77,31.6,39.52,15.4,16.28,19.57,23.13,23.28,28.03,41.37,31.42,41.3,17.75,26.85,8.4,37.7,60.62,59.95,49.68,22.65,49.12,40.93,35.8,47.32,58.73,35.23
PS183,33.75,26.83,29.68,28.52,36.43,14.73,13.23,16.48,20.05,20.18,24.93,36.53,28.33,38.07,14.93,22.03,7.17,34.88,57.53,56.87,46.58,19.57,39,37.85,32.7,44.22,55.65,25.12
