sector,n_patients
PS1,3375
PS2,3338
PS3,2922
PS4,3191
PS5,3134
PS6,2881
PS7,2393
PS8,2209
PS9,2465
PS10,2449
PS11,2234
PS12,2138
PS13,1968
PS14,2006
PS15,1884
PS16,2180
PS17,1609
PS18,1817
PS19,1468
PS20,1790
PS21,1545
PS22,1633
PS23,1780
PS24,1590
PS25,1461
PS26,1469
PS27,1605
PS28,1770
PS29,1626
PS30,1521
PS31,1292
PS32,1400
PS33,1249
PS34,1240
PS35,1283
PS36,1340
PS37,1338
PS38,1343
PS39,1223
PS40,1339
PS41,1118
PS42,1255
PS43,1161
PS44,1116
PS45,1316
PS46,1291
PS47,1203
PS48,1254
PS49,1130
PS50,1146
PS51,1268
PS52,1249
PS53,757
PS54,843
PS55,1049
PS56,813
PS57,987
PS58,780
PS59,1088
PS60,1051
PS61,855
PS62,1041
PS63,1030
PS64,1052
PS65,892
PS66,1046
PS67,862
PS68,785
PS69,878
PS70,878
PS71,1063
PS72,842
PS73,826
PS74,952
PS75,822
PS76,890
PS77,939
PS78,780
PS79,816
PS80,1062
PS81,1081
PS82,890
PS83,960
PS84,857
PS85,889
PS86,933
PS87,1016
PS88,820
PS89,995
PS90,832
PS91,991
PS92,386
PS93,710
PS94,490
PS95,457
PS96,523
PS97,386
PS98,383
PS99,531
PS100,415
PS101,637
PS102,642
PS103,562
PS104,606
PS105,639
PS106,701
PS107,653
PS108,673
PS109,542
PS110,703
PS111,436
PS112,628
PS113,391
PS114,459
PS115,433
PS116,438
PS117,516
PS118,538
PS119,626
PS120,473
PS121,475
PS122,492
PS123,659
PS124,663
PS125,531
PS126,679
PS127,536
PS128,476
PS129,418
PS130,404
PS131,565
PS132,581
PS133,496
PS134,509
PS135,561
PS136,563
PS137,567
PS138,503
PS139,531
PS140,367
PS141,458
PS142,586
PS143,436
PS144,393
PS145,673
PS146,509
PS147,528
PS148,553
PS149,423
PS150,476
PS151,489
PS152,651
PS153,438
PS154,400
PS155,625
PS156,671
PS157,569
PS158,16
PS159,6
PS160,11
PS161,50
PS162,48
PS163,15
PS164,44
PS165,188
PS166,85
PS167,12
PS168,263
PS169,121
PS170,5
PS171,42
PS172,127
PS173,113
PS174,205
PS175,244
PS176,355
PS177,256
PS178,23
PS179,57
PS180,62
PS181,315
PS182,68
PS183,100
PS184,104
PS185,298
PS186,85
PS187,115
PS188,261
PS189,222
PS190,113
PS191,27
PS192,16
PS193,192
PS194,106
PS195,243
PS196,182
PS197,131
PS198,83
PS199,224
PS200,98
PS201,132
PS202,60
PS203,201
PS204,356
PS205,356
PS206,132
PS207,7
PS208,44
PS209,22
PS210,30
PS211,5
PS212,23
PS213,51
PS214,4
PS215,39
PS216,172
PS217,50
PS218,59
PS219,322
PS220,285
PS221,166
PS222,230
PS223,193
PS224,275
PS225,178
PS226,319
PS227,334
PS228,197
PS229,306
PS230,324
PS231,334
PS232,126
PS233,162
PS234,282
PS235,270
PS236,180
PS237,217
PS238,176
PS239,125
PS240,344
PS241,342
PS242,304
PS243,339
PS244,340
PS245,180
PS246,311
PS247,177
PS248,314
PS249,187
PS250,2
PS251,241
PS252,306
PS253,83
PS254,55
PS255,129
PS256,295
PS257,242
PS258,227
PS259,302
PS260,219
PS261,190
PS262,159
PS263,235
PS264,67
PS265,265
PS266,316
PS267,7
PS268,29
PS269,36
PS270,20
PS271,19
PS272,257
PS273,209
PS274,216
PS275,261
PS276,342
PS277,0
PS278,0
